,kepid,kepler_name,kepoi_name,koi_disposition,koi_ror,koi_steff,koi_srad,koi_count,koi_num_transits,koi_prad,koi_fittype,koi_eccen,koi_period
5124,9285265,Kepler-1491 b,K03410.01,CONFIRMED,0.013767,5626.0,1.389,2,80.0,2.09,LS+MCMC,0.0,16.5860329
5126,5780930,Kepler-1492 b,K03412.01,CONFIRMED,0.018524,4807.0,1.802,1,80.0,3.65,LS+MCMC,0.0,16.7525077
5134,10881457,Kepler-1510 b,K03484.01,CONFIRMED,0.02339,6085.0,1.634,1,11.0,4.17,LS+MCMC,0.0,84.704139
5150,3433668,Kepler-1493 b,K03415.01,CONFIRMED,0.011751,5831.0,1.382,1,87.0,1.77,LS+MCMC,0.0,15.0219784
5152,7503885,Kepler-1494 b,K03417.01,CONFIRMED,0.029618,5915.0,1.008,1,14.0,3.26,LS+MCMC,0.0,91.078624
5153,3629330,Kepler-1495 b,K03418.01,CONFIRMED,0.033383,5922.0,1.057,1,12.0,3.85,LS+MCMC,0.0,85.272459
5165,11853878,Kepler-968 c,K01833.03,CONFIRMED,0.024186,4402.0,0.572,3,176.0,1.51,LS+MCMC,0.0,5.70940795
5167,11810124,Kepler-1471 b,K03344.02,CONFIRMED,0.013212,5533.0,1.166,3,368.0,1.68,LS+MCMC,0.0,3.63898953
5168,11303322,Kepler-1472 b,K03345.01,CONFIRMED,0.012762,6370.0,1.106,1,34.0,1.54,LS+MCMC,0.0,38.1303324
5169,11241912,Kepler-1473 b,K03346.01,CONFIRMED,0.013498,5929.0,1.04,1,91.0,1.53,LS+MCMC,0.0,14.42735088
5172,9349757,Kepler-1474 b,K03348.01,CONFIRMED,0.018302,5566.0,1.099,2,37.0,2.2,LS+MCMC,0.0,36.4337867
5178,7703955,Kepler-315 c,K01707.02,CONFIRMED,0.038304,5792.0,1.005,2,5.0,4.2,LS+MCMC,0.0,265.47847
5191,8636333,Kepler-1475 b,K03349.01,CONFIRMED,0.021508,6247.0,0.954,1,17.0,2.24,LS+MCMC,0.0,82.175197
5195,8081239,Kepler-1476 b,K03352.01,CONFIRMED,0.015084,5893.0,1.02,1,133.0,1.68,LS+MCMC,0.0,10.35857039
5204,7517261,Kepler-1511 b,K03496.01,CONFIRMED,0.011845,6602.0,1.685,2,54.0,2.18,LS+MCMC,0.0,23.2385587
5207,8424002,Kepler-1512 b,K03497.01,CONFIRMED,0.021227,3419.0,0.344,1,65.0,0.8,LS+MCMC,0.0,20.35971899
5214,10657406,Kepler-969 c,K01837.02,CONFIRMED,0.011608,5201.0,0.834,2,788.0,1.06,LS+MCMC,0.0,1.682934607
5216,7091432,Kepler-1477 b,K03353.01,CONFIRMED,0.019441,5149.0,0.803,1,113.0,1.7,LS+MCMC,0.0,11.55532445
5220,6368230,Kepler-1478 b,K03356.01,CONFIRMED,0.014818,6083.0,0.835,1,52.0,1.35,LS+MCMC,0.0,26.0841212
5223,9027909,Kepler-1496 b,K03428.01,CONFIRMED,0.013934,5821.0,1.395,1,22.0,2.12,LS+MCMC,0.0,64.6589166
5226,9230021,Kepler-1497 b,K03429.02,CONFIRMED,0.015506,5596.0,1.145,4,130.0,1.94,LS+MCMC,0.0,8.74192361
5230,8552719,Kepler-953 c,K01792.03,CONFIRMED,0.011234,5611.0,1.073,3,140.0,1.32,LS+MCMC,0.0,9.10969334
5245,11651712,Kepler-1479 b,K03363.01,CONFIRMED,0.016627,6003.0,0.932,1,74.0,1.69,LS+MCMC,0.0,14.53260546
5246,9896558,Kepler-937 c,K01718.02,CONFIRMED,0.018175,6127.0,1.08,2,7.0,2.14,LS+MCMC,0.0,153.348739
5250,8738775,Kepler-1498 b,K03432.01,CONFIRMED,0.014886,5332.0,1.453,1,28.0,2.36,LS+MCMC,0.0,48.0506878
5258,3728432,Kepler-1526 b,K03893.01,CONFIRMED,0.026067,4518.0,0.653,1,342.0,1.86,LS+MCMC,0.0,3.90863457
5259,6696580,Kepler-359 d,K02092.03,CONFIRMED,0.259869,6228.0,1.049,3,16.0,29.77,LS+MCMC,0.0,77.086191
5265,9892816,Kepler-342 e,K01955.03,CONFIRMED,0.007869,6297.0,1.369,4,752.0,1.18,LS+MCMC,0.0,1.644221032
5269,5384079,Kepler-348 c,K02011.02,CONFIRMED,0.007577,6388.0,1.402,2,77.0,1.16,LS+MCMC,0.0,17.2653659
5279,11709124,Kepler-154 b,K00435.03,CONFIRMED,0.022276,5688.0,0.971,6,33.0,2.36,LS+MCMC,0.0,33.0405509
5283,9480535,Kepler-1527 b,K03901.01,CONFIRMED,0.034707,6092.0,1.759,1,5.0,6.67,LS+MCMC,0.0,160.130899
5297,3128552,Kepler-1073 c,K02055.02,CONFIRMED,0.014658,5509.0,1.116,4,256.0,1.79,LS+MCMC,0.0,4.02582434
5310,9892816,Kepler-342 c,K01955.04,CONFIRMED,0.018433,6297.0,1.369,4,39.0,2.76,LS+MCMC,0.0,26.2347447
5311,4150804,Kepler-1513 b,K03678.01,CONFIRMED,0.079769,5650.0,1.044,1,9.0,9.09,LS+MCMC,0.0,160.88451966
5313,9025971,Kepler-1657 b,K03680.01,CONFIRMED,0.103416,5705.0,1.017,1,8.0,11.49,LS+MCMC,0.0,141.2415405
5314,2581316,Kepler-1514 b,K03681.01,CONFIRMED,0.08768,6259.0,1.167,2,7.0,11.17,LS+MCMC,0.0,217.83184293
5325,2581554,Kepler-1521 b,K03835.01,CONFIRMED,0.032227,4975.0,0.734,1,29.0,2.58,LS+MCMC,0.0,47.1484324
5330,9761615,Kepler-1528 b,K03911.01,CONFIRMED,0.011842,6040.0,0.999,1,743.0,1.29,LS+MCMC,0.0,1.79110997
5335,10795103,Kepler-1515 b,K03683.01,CONFIRMED,0.06189,6471.0,1.357,1,6.0,9.17,LS+MCMC,0.0,214.3120439
5338,8494410,Kepler-1516 b,K03685.02,CONFIRMED,0.014557,5914.0,0.987,2,182.0,1.57,LS+MCMC,0.0,7.2593226
5355,5784777,Kepler-1529 b,K03916.01,CONFIRMED,0.024662,5057.0,0.704,1,251.0,1.9,LS+MCMC,0.0,5.33905606
5357,6949061,Kepler-343 c,K01960.02,CONFIRMED,0.016108,5808.0,1.374,2,55.0,2.42,LS+MCMC,0.0,23.2218115
